47258067			,10-MAY-10 03.07.15.000000 PM						    ,CR_MassFilter											 ,10-MAY-10 03.07.15.056434 PM						     ,CR_MassFilter											  ,SCNLE2LAED,	       6,      4814,29-JAN-19	      , ,									    ,										,
47306215			,10-MAY-10 05.25.05.000000 PM						    ,CR_MassFilter											 ,10-MAY-10 05.25.05.946678 PM						     ,CR_MassFilter											  ,ROBOEDEROF,	       1,      3924,03-SEP-10	      , ,									    ,										,
49243768			,17-MAY-10 11.40.31.000000 AM						    ,CR_MassFilter											 ,17-MAY-10 11.40.31.510331 AM						     ,CR_MassFilter											  ,SCNLE2NSED,	       2,      1944,29-JAN-19	      , ,									    ,										,
50679123			,20-MAY-10 11.17.52.000000 PM						    ,CR_MassFilter											 ,20-MAY-10 11.17.52.010936 PM						     ,CR_MassFilter											  ,SCBEE2UDED,	      11,    256770,30-JAN-15	      , ,									    ,										,
33747588			,25-MAR-10 02.07.26.000000 PM						    ,CR_MassFilter											 ,25-MAR-10 02.07.26.304287 PM						     ,CR_MassFilter											  ,SCXXEBMAIL,	       1,      2548,17-JAN-14	      , ,									    ,										,
42747598			,26-APR-10 11.16.04.000000 AM						    ,CR_MassFilter											 ,26-APR-10 11.16.04.896523 AM						     ,CR_MassFilter											  ,SCBEEUDBED,	       4,     66893,05-NOV-14	      , ,									    ,										,
35711182			,31-MAR-10 11.15.31.000000 PM						    ,CR_MassFilter											 ,31-MAR-10 11.15.31.058532 PM						     ,CR_MassFilter											  ,SCBEEETNFL,	       2,     88000,29-APR-14	      , ,									    ,										,
36862622			,06-APR-10 02.10.45.000000 PM						    ,CR_MassFilter											 ,06-APR-10 02.10.45.342625 PM						     ,CR_MassFilter											  ,DTLGE2XMOD,	       1,	801,11-JUN-12	      , ,									    ,										,
43105362			,27-APR-10 08.58.20.000000 AM						    ,CR_MassFilter											 ,27-APR-10 08.58.20.541023 AM						     ,CR_MassFilter											  ,SCBEESCTED,	     277,     79300,29-JAN-19	      , ,									    ,										,
43105802			,27-APR-10 09.00.31.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.00.31.840204 AM						     ,CR_MassFilter											  ,DUPOEFCOST,	       1,	972,02-JAN-19	      , ,									    ,										,
43106256			,27-APR-10 09.01.31.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.01.31.494571 AM						     ,CR_MassFilter											  ,NIKEENIKST,	      15,     70527,29-JAN-19	      , ,									    ,										,
43106352			,27-APR-10 09.01.55.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.01.55.507535 AM						     ,CR_MassFilter											  ,APPLESDSTA,	      12,     36795,09-SEP-13	      , ,									    ,										,
43110645			,27-APR-10 09.09.43.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.09.43.340231 AM						     ,CR_MassFilter											  ,SAG_ECOBSW,	       3,	680,22-AUG-11	      , ,									    ,										,
43110720			,27-APR-10 09.10.12.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.10.12.474431 AM						     ,CR_MassFilter											  ,ABB_ECTAXM,	       6,      6192,29-JAN-19	      , ,									    ,										,
43111084			,27-APR-10 09.11.37.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.11.37.782126 AM						     ,CR_MassFilter											  ,SCNOEGXSIM,	       1,     58829,21-DEC-10	      , ,									    ,										,
43113297			,27-APR-10 09.16.38.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.16.38.006880 AM						     ,CR_MassFilter											  ,SEMCEB18RN,	       2,     22290,29-JAN-19	      , ,									    ,										,
